epoch,avg_loss,avg_pos_dist,avg_neg_dist,elapsed_time
1,0.056580,0.4888,1.1334,1.9
2,0.045619,0.4393,1.1984,0.9
3,0.043276,0.4185,1.2230,0.9
4,0.041878,0.4058,1.2409,1.1
5,0.041051,0.3973,1.2417,0.8
6,0.040257,0.3911,1.2578,0.8
7,0.039878,0.3848,1.2660,0.8
8,0.039139,0.3788,1.2788,0.8
9,0.038745,0.3746,1.2773,0.8
10,0.038533,0.3695,1.2821,0.8
11,0.038696,0.3687,1.2728,0.8
12,0.038241,0.3630,1.2806,0.8
13,0.038207,0.3602,1.2739,0.8
14,0.038032,0.3600,1.2815,1.0
15,0.037835,0.3593,1.2830,1.0
16,0.037702,0.3543,1.2845,1.0
17,0.037214,0.3529,1.2997,1.0
18,0.037254,0.3504,1.2942,0.8
19,0.037012,0.3486,1.3005,0.8
20,0.036916,0.3454,1.3027,0.8
21,0.036914,0.3472,1.2992,0.8
22,0.037009,0.3469,1.2936,1.2
23,0.036841,0.3417,1.2970,1.2
24,0.036990,0.3439,1.2924,1.2
25,0.036591,0.3401,1.3011,0.8
26,0.036468,0.3385,1.3078,0.8
27,0.036659,0.3430,1.2927,0.8
28,0.036441,0.3370,1.3017,1.0
29,0.036412,0.3356,1.2994,1.0
30,0.036186,0.3351,1.3161,1.0
