epoch,avg_loss,avg_pos_dist,avg_neg_dist,elapsed_time
1,0.139527,0.5185,0.9033,0.8
2,0.124002,0.4935,0.9323,0.4
3,0.121011,0.4757,0.9530,0.5
4,0.115260,0.4659,0.9626,0.4
5,0.113286,0.4670,0.9745,0.5
6,0.109971,0.4609,0.9804,0.5
7,0.108134,0.4565,0.9877,0.5
8,0.107285,0.4541,0.9970,0.5
9,0.106219,0.4502,1.0010,0.5
10,0.104435,0.4468,1.0092,0.5
11,0.103789,0.4450,1.0114,0.4
12,0.101360,0.4394,1.0113,0.5
13,0.101290,0.4389,1.0249,0.4
14,0.100273,0.4366,1.0211,0.5
15,0.098672,0.4333,1.0290,0.4
16,0.099279,0.4305,1.0267,0.5
17,0.097624,0.4278,1.0321,0.4
18,0.098500,0.4276,1.0340,0.4
19,0.097246,0.4263,1.0345,0.6
20,0.096012,0.4238,1.0401,0.5
21,0.096248,0.4235,1.0410,0.5
22,0.094669,0.4171,1.0478,0.5
23,0.095099,0.4198,1.0449,0.6
24,0.094529,0.4145,1.0469,0.6
25,0.094741,0.4163,1.0450,0.6
26,0.094164,0.4140,1.0501,0.4
27,0.093421,0.4112,1.0538,0.5
28,0.093141,0.4109,1.0525,0.5
29,0.093212,0.4116,1.0554,0.5
30,0.093289,0.4074,1.0561,0.5
