epoch,avg_loss,avg_pos_dist,avg_neg_dist,elapsed_time
1,0.152109,0.4660,0.8920,0.1
2,0.127497,0.4613,0.9384,0.1
3,0.119702,0.4423,0.9520,0.2
4,0.114555,0.4405,0.9721,0.2
5,0.111431,0.4247,0.9772,0.2
6,0.106739,0.4260,0.9904,0.2
7,0.106342,0.4199,0.9905,0.2
8,0.104893,0.4296,1.0010,0.1
9,0.102553,0.4198,1.0223,0.2
10,0.098522,0.4049,1.0237,0.1
11,0.096623,0.4028,1.0312,0.1
12,0.095866,0.4000,1.0360,0.1
13,0.094839,0.4060,1.0377,0.1
14,0.094719,0.3901,1.0484,0.1
15,0.092942,0.3956,1.0608,0.1
16,0.095097,0.3981,1.0362,0.1
17,0.094310,0.3920,1.0314,0.1
18,0.091637,0.3916,1.0480,0.1
19,0.088072,0.3849,1.0751,0.1
20,0.087356,0.3841,1.0719,0.2
21,0.088377,0.3887,1.0680,0.1
22,0.090089,0.3855,1.0615,0.2
23,0.090107,0.3852,1.0538,0.1
24,0.086271,0.3747,1.0836,0.1
25,0.085970,0.3820,1.0635,0.1
26,0.084113,0.3742,1.0731,0.1
27,0.084485,0.3753,1.0773,0.1
28,0.084689,0.3771,1.0762,0.1
29,0.082477,0.3716,1.0879,0.1
30,0.082922,0.3693,1.0776,0.1
