img1,img2,pair_type
augmented/calc_p1_s1/calc_p1_s1_aug1.jpg,sections/calc_p1_s1.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug1.jpg,augmented/calc_p1_s1/calc_p1_s1_aug2.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug1.jpg,augmented/calc_p1_s1/calc_p1_s1_aug3.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug1.jpg,augmented/calc_p1_s1/calc_p1_s1_aug4.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug2.jpg,sections/calc_p1_s1.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug2.jpg,augmented/calc_p1_s1/calc_p1_s1_aug3.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug2.jpg,augmented/calc_p1_s1/calc_p1_s1_aug4.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug3.jpg,sections/calc_p1_s1.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug3.jpg,augmented/calc_p1_s1/calc_p1_s1_aug4.jpg,augmentation_positive
augmented/calc_p1_s1/calc_p1_s1_aug4.jpg,sections/calc_p1_s1.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug1.jpg,sections/calc_p1_s2.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug1.jpg,augmented/calc_p1_s2/calc_p1_s2_aug2.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug1.jpg,augmented/calc_p1_s2/calc_p1_s2_aug3.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug1.jpg,augmented/calc_p1_s2/calc_p1_s2_aug4.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug2.jpg,sections/calc_p1_s2.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug2.jpg,augmented/calc_p1_s2/calc_p1_s2_aug3.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug2.jpg,augmented/calc_p1_s2/calc_p1_s2_aug4.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug3.jpg,sections/calc_p1_s2.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug3.jpg,augmented/calc_p1_s2/calc_p1_s2_aug4.jpg,augmentation_positive
augmented/calc_p1_s2/calc_p1_s2_aug4.jpg,sections/calc_p1_s2.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug1.jpg,sections/calc_p1_s3.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug1.jpg,augmented/calc_p1_s3/calc_p1_s3_aug2.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug1.jpg,augmented/calc_p1_s3/calc_p1_s3_aug3.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug1.jpg,augmented/calc_p1_s3/calc_p1_s3_aug4.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug2.jpg,sections/calc_p1_s3.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug2.jpg,augmented/calc_p1_s3/calc_p1_s3_aug3.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug2.jpg,augmented/calc_p1_s3/calc_p1_s3_aug4.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug3.jpg,sections/calc_p1_s3.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug3.jpg,augmented/calc_p1_s3/calc_p1_s3_aug4.jpg,augmentation_positive
augmented/calc_p1_s3/calc_p1_s3_aug4.jpg,sections/calc_p1_s3.jpg,augmentation_positive
augmented/calc_p1_s4/calc_p1_s4_aug1.jpg,sections/calc_p1_s4.jpg,augmentation_positive
augmented/calc_p1_s4/calc_p1_s4_aug1.jpg,augmented/calc_p1_s4/calc_p1_s4_aug2.jpg,augmentation_positive
