section_id,variant_id,variant_path
calc_p1_s1,calc_p1_s1_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s1\calc_p1_s1_aug1.jpg
calc_p1_s1,calc_p1_s1_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s1\calc_p1_s1_aug2.jpg
calc_p1_s1,calc_p1_s1_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s1\calc_p1_s1_aug3.jpg
calc_p1_s1,calc_p1_s1_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s1\calc_p1_s1_aug4.jpg
calc_p1_s2,calc_p1_s2_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s2\calc_p1_s2_aug1.jpg
calc_p1_s2,calc_p1_s2_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s2\calc_p1_s2_aug2.jpg
calc_p1_s2,calc_p1_s2_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s2\calc_p1_s2_aug3.jpg
calc_p1_s2,calc_p1_s2_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s2\calc_p1_s2_aug4.jpg
calc_p1_s3,calc_p1_s3_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s3\calc_p1_s3_aug1.jpg
calc_p1_s3,calc_p1_s3_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s3\calc_p1_s3_aug2.jpg
calc_p1_s3,calc_p1_s3_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s3\calc_p1_s3_aug3.jpg
calc_p1_s3,calc_p1_s3_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s3\calc_p1_s3_aug4.jpg
calc_p1_s4,calc_p1_s4_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s4\calc_p1_s4_aug1.jpg
calc_p1_s4,calc_p1_s4_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s4\calc_p1_s4_aug2.jpg
calc_p1_s4,calc_p1_s4_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s4\calc_p1_s4_aug3.jpg
calc_p1_s4,calc_p1_s4_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s4\calc_p1_s4_aug4.jpg
calc_p1_s5,calc_p1_s5_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s5\calc_p1_s5_aug1.jpg
calc_p1_s5,calc_p1_s5_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s5\calc_p1_s5_aug2.jpg
calc_p1_s5,calc_p1_s5_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s5\calc_p1_s5_aug3.jpg
calc_p1_s5,calc_p1_s5_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s5\calc_p1_s5_aug4.jpg
calc_p1_s6,calc_p1_s6_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s6\calc_p1_s6_aug1.jpg
calc_p1_s6,calc_p1_s6_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s6\calc_p1_s6_aug2.jpg
calc_p1_s6,calc_p1_s6_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s6\calc_p1_s6_aug3.jpg
calc_p1_s6,calc_p1_s6_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p1_s6\calc_p1_s6_aug4.jpg
calc_p2_s1,calc_p2_s1_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s1\calc_p2_s1_aug1.jpg
calc_p2_s1,calc_p2_s1_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s1\calc_p2_s1_aug2.jpg
calc_p2_s1,calc_p2_s1_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s1\calc_p2_s1_aug3.jpg
calc_p2_s1,calc_p2_s1_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s1\calc_p2_s1_aug4.jpg
calc_p2_s2,calc_p2_s2_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s2\calc_p2_s2_aug1.jpg
calc_p2_s2,calc_p2_s2_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s2\calc_p2_s2_aug2.jpg
calc_p2_s2,calc_p2_s2_aug3,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s2\calc_p2_s2_aug3.jpg
calc_p2_s2,calc_p2_s2_aug4,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s2\calc_p2_s2_aug4.jpg
calc_p2_s3,calc_p2_s3_aug1,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s3\calc_p2_s3_aug1.jpg
calc_p2_s3,calc_p2_s3_aug2,c:\Users\admin\OneDrive\Documents\CS projects\MathLens\src\..\data\augmented\calc_p2_s3\calc_p2_s3_aug2.jpg
