section_id,subject,page,section,topic,cluster,hard_negative,set
calc_p1_s1,calculus,1,1,supremum_infimum,bounds_unboundness,,train
calc_p1_s2,calculus,1,2,supremum_infimum,bounds_unboundness,,train
calc_p1_s3,calculus,1,3,supremum_infimum,bounds_unboundness,,train
calc_p1_s4,calculus,1,4,n_unbounded,bounds_unboundness,,train
calc_p1_s5,calculus,1,5,archimedean_property,bounds_unboundness,,train
calc_p1_s6,calculus,1,6,function,functions,,train
calc_p2_s1,calculus,2,1,sequence_limit,sequences,,train
calc_p2_s2,calculus,2,2,sequence_limit,sequences,,train
calc_p2_s3,calculus,2,3,boundedness_convergence,sequences,,train
calc_p3_s1,calculus,3,1,boundedness_convergence,sequences,,eval
calc_p3_s2,calculus,3,2,sequence_limit,sequences,,eval
calc_p3_s3,calculus,3,3,boundedness_convergence,sequences,,eval
calc_p4_s1,calculus,4,1,continuity_definition,continuity,,train
calc_p4_s2,calculus,4,2,continuity_definition,continuity,,train
calc_p4_s3,calculus,4,3,continuity_example,continuity,,train
calc_p4_s4,calculus,4,4,continuity_example,continuity,,train
calc_p4_s5,calculus,4,5,continuity_example,continuity,,eval
calc_p4_s6,calculus,4,6,continuity_properties,continuity,,train
calc_p5_s1,calculus,5,1,differentiation_definition,differentiation,,train
calc_p5_s2,calculus,5,2,differentiation_properties,differentiation,,train
calc_p5_s3,calculus,5,3,differentiation_example,differentiation,,train
calc_p5_s4,calculus,5,4,differentiation_example,differentiation,,eval
calc_p5_s5,calculus,5,5,differentiation_example,differentiation,,train
calc_p6_s1,calculus,6,1,differentiation_definition,differentiation,,train
calc_p6_s2,calculus,6,2,differentiation_definition,differentiation,,train
calc_p6_s3,calculus,6,3,differentiation_properties,differentiation,,train
calc_p6_s4,calculus,6,4,local_extrema_necessary,extrema,,train
calc_p7_s1,calculus,7,1,differentiation_properties,differentiation,,train
calc_p7_s2,calculus,7,2,differentiation_example,differentiation,,train
calc_p7_s3,calculus,7,3,mean_value_theorem,mean_value_theorems,"differentiation_definition, differentiation_properties",eval
calc_p7_s4,calculus,7,4,mvt_consequences,mean_value_theorems,"differentiation_definition, differentiation_properties",train
calc_p7_s5,calculus,7,5,mvt_consequences,mean_value_theorems,"differentiation_definition, differentiation_properties",train
calc_p8_s1,calculus,8,1,local_extrema_sufficient,extrema,,train
calc_p8_s2,calculus,8,2,local_extrema_sufficient,extrema,,train
calc_p8_s3,calculus,8,3,local_extrema_example,extrema,,train
calc_p8_s4,calculus,8,4,local_extrema_necessary,extrema,,eval
calc_p8_s5,calculus,8,5,local_extrema_definition,extrema,,train
calc_p9_s1,calculus,9,1,series_definition,series,,train
calc_p9_s2,calculus,9,2,series_definition,series,,train
calc_p9_s3,calculus,9,3,series_convergence,series,,train
calc_p9_s4,calculus,9,4,geometric_series,series,,train
calc_p9_s5,calculus,9,5,geometric_series,series,,train
