epoch,avg_loss,avg_pos_dist,avg_neg_dist,elapsed_time
1,0.056075,0.4902,1.1430,503.3
2,0.045243,0.4375,1.2041,505.6
3,0.043184,0.4167,1.2265,506.1
4,0.041858,0.4060,1.2393,506.7
5,0.041009,0.3974,1.2558,500.4
6,0.040144,0.3912,1.2658,506.4
7,0.039771,0.3827,1.2735,503.1
8,0.039315,0.3765,1.2769,506.0
9,0.038982,0.3754,1.2744,492.8
10,0.038491,0.3712,1.2818,483.6
11,0.038399,0.3647,1.2761,493.0
12,0.038522,0.3637,1.2699,484.1
13,0.037936,0.3585,1.2821,483.7
14,0.037569,0.3583,1.2960,482.4
15,0.037889,0.3571,1.2813,478.5
16,0.037509,0.3564,1.2866,481.3
17,0.037427,0.3521,1.2904,483.8
18,0.037232,0.3518,1.2874,484.9
19,0.037278,0.3507,1.2840,486.3
20,0.037094,0.3480,1.2948,487.0
21,0.037119,0.3456,1.2882,493.2
